date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
21/11/2021,EA,29,13,55,456379,
21/11/2021,EBAY,63,394,2085,540221,
21/11/2021,ES,72,163,861,85030,
21/11/2021,F,207,5002,36846,961360,
21/11/2021,FCX,51,468,1050,228157,
21/11/2021,GILD,27,28,18,213166,
21/11/2021,GOOG,142,1345,11946,634068,
21/11/2021,GOOGL,164,31702,176255,1046930,
21/11/2021,GS,70,337,1125,339982,
21/11/2021,JPM,59,538,936,482023,
21/11/2021,KEY,1424,16556,33088,5499169,
21/11/2021,KO,63,13295,51638,259748,
21/11/2021,MA,83,1210,6385,637743,
21/11/2021,META,335,3616,21876,1862173,
21/11/2021,MNST,94,342,1331,512050,
21/11/2021,MO,22,64,479,128549,
21/11/2021,MSFT,178,327,963,624609,
21/11/2021,MU,142,80,391,752470,
21/11/2021,NFLX,229,16274,15414,804717,
21/11/2021,NKE,85,230,634,360102,
21/11/2021,NVDA,337,3610,23251,1677761,
21/11/2021,OXY,44,87,271,195041,
21/11/2021,PEP,35,161,1210,151668,
21/11/2021,PFE,164,453,1007,1217786,
21/11/2021,PG,55,5902,31225,224283,
21/11/2021,T,103,30,55,479404,
21/11/2021,TSLA,3552,92760,948324,10119206,
21/11/2021,V,100,202,2065,206687,
22/11/2021,AAL,123,142,1057,880817,
22/11/2021,AAPL,2130,9471,53753,20781957,
22/11/2021,ABBV,96,659,2686,539670,
22/11/2021,ABT,62,16,56,182234,
22/11/2021,AMD,833,7908,20014,8328039,
22/11/2021,AMZN,1262,23000,78827,14120815,
22/11/2021,ATVI,572,18677,163758,15104565,
22/11/2021,BA,342,1165,10319,1148157,
22/11/2021,C,127,653,1998,574596,
22/11/2021,CMG,71,22,45,89914,
22/11/2021,CRM,172,3202,15850,913747,
22/11/2021,D,49,10,33,153894,
22/11/2021,DAL,66,927,3831,808051,
22/11/2021,DIS,564,997,6850,5696256,
22/11/2021,EA,86,67,193,808309,
22/11/2021,EBAY,128,351,2405,707075,
22/11/2021,EL,28,15,74,195296,
